Register   |    Hex |      Dec
       339 |   0000 |        0
       340 |   0000 |      584
       341 |   0000 |        0
       342 |   0964 |     2376	???
       343 |   0007 |        5
       344 |   000b |        4
       345 |   0000 |        0
       346 |   0964 |     2376	Output L1 Voltage ??? (* 0,1)
       347 |   0004 |       36	Output L1 Current(A) (* 0,1)
       348 |   0008 |      583	Output L1 Active Power(W)
       349 |   0060 |      855     Output L1 Apparent Power(VA)
       350 |   0000 |        7
       351 |   00aa |      265	PV1 Voltage(V)
       352 |   0000 |        0
       353 |   0000 |        0
       354 |   0000 |        0
       355 |   0000 |        0
       356 |   0000 |        0
       357 |   0000 |        0
       358 |   0000 |        0
       359 |   0000 |        0
       360 |   0000 |        0
       361 |   0000 |        0
       362 |   0000 |        0
       363 |   0000 |        0
       364 |   0000 |        0
       365 |   0000 |        0
       366 |   0000 |        0
       367 |   0000 |        0
       368 |   0000 |        0
       369 |   0000 |        0
       370 |   0000 |        0
       371 |   0000 |        0
       372 |   0000 |        0
       373 |   0000 |        0
       374 |   0000 |        0
       375 |   0000 |        0
       376 |   0000 |        0
       377 |   0000 |        0
       378 |   0000 |        0
       379 |   0000 |        0
       380 |   0000 |        0
       381 |   0000 |        0
       382 |   0000 |        0
       383 |   0000 |        0
       384 |   097d |        0	Output L2 Voltage(V) (* 0,1)
       385 |   0005 |        0	Output L2 Current(A) (* 0,1)
       386 |   fffb |        0     Output L2 Active Power(W)
       387 |   0079 |        0	Output L2 Apparent Power(VA)
       388 |   0002 |        0
       389 |   00a7 |      264	PV2 Voltage(V)
       390 |   0000 |        0
       391 |   0000 |        0
       392 |   0000 |        0
       393 |   0000 |        0
       394 |   0000 |        0
       395 |   0000 |        0
       396 |   0000 |        0
       397 |   0000 |        0
       398 |   0000 |        0
       399 |   0000 |        0

